1D,"Неправильный номер последовательности (CTA, CTB) (от релейного контроллера)","То же, что и код 0E
"
20,"При запуске электродвигателя обнаружена неисправность","Возможно обрыв провода одной из фаз, опущена курбельная заслонка, существует препятствие при переводе, плохо отрегулирован привод. (см. п. Неисправность при запуске электродвигателя (аларм 20)
"
21,"Положение электропривода 1 не соответствует последнему приказу","""1.Выполнить несколько переводов стрелки. 2.Очистить стрелку от снега или посторонних предметов. 3.Отрегулировать стрелочный перевод. 4.Убедиться, что двигатель вращается в нужную сторону. 5.Замерить в положении + (Л5-Л7 17-27В=; Л4-Л6 30-40В~); в положении - (Л5-Л7 30-40В~; Л4-Л6 17-27В=) напряжение в контрольной цепи: При отрицательном результате заменить плату МОТ1. (см. п. Статус «без контроля»)""
"
22,"Положение электропривода 2 не соответствует последнему приказу","См. код 21, (см. п. Статус «без контроля»)
"
23,"Три значения: 1. Неправильные настройки на задней панели. 2. Телеграммы состояния А/В не синхронизированы. 3. Программная ошибка в стрелочном контроллере.","1. ОК постоянно перезапускается. Проверить/восстановить правильные настройки на задней панели, проверить крепление плат и разъёмов. 2-3. При частом появлении заменить плату ССМ/ССМ-Е с ПЗУ. При повторении связаться с сервисным центром.
"
24,"Ток перевода выходит за допустимые пределы","Проверить электродвигатель, монтаж от ОК до привода (возможно обрыв провода одной из фаз, плохой контакт в курбельной заслонке). При повторном появлении в течение 1 часа, заменить плату МОТ1. (смотри пункт Ток перевода выходит за допустимые пределы (аларм 24).
"
25,"При неподвижной стрелке ток через семисторы платы МОТ выходит за пределы.","При повторном появлении в течение 1 часа, заменить плату МОТ1.
"
26,"Неисправность схемы опроса диода","Неисправность в монтаже от ОК до привода, повышенное сопротивление шлейфа контрольной цепи, ненадёжное врубание контактов авто-переключателя, неисправность в схеме CMD на плате МОТ1. Проверить монтаж до привода. Заменить БД-Эбилок (БДР-М, БДР), включить электрообогрев стрелок (зимой). Заменить плату МОТ1. (смотри пункт Неисправность схемы опроса диода (аларм 26).
"
27,"Неисправен аналого-цифровой преобразователь на плате МОТ","При повторном появлении в течение 1 часа заменить плату МОТ1.
"
29,"Неисправность платы MOT, ОК остановлен","Обобщенное сообщение. ОК передает этот код, когда плата МОТ1 неисправна и процессор остановлен. Заменить плату МОТ1.
"
2A,"Сбой платы MOT, ОК продолжает работу","Обобщенное сообщение. ОК непрерывно передает этот код, для сообщения о том, что в процессе работы обнаружены сбои и/или неисправности.
"
2B,"Схема (на плате МОТ) активизации безопасных реле неисправна","Заменить плату МОТ1.
"
2D,"Нет входного питания (3*220В) на плате МОТ","Проверить предохранитель, клеммы, провода.
"
2E,"Неисправность реле на плате МОТ","Заменить плату МОТ1.
"
2F,"Понижение изоляции кабеля (только для силовых проводов Л1, Л2, Л3)","При повторном появлении в течение 1 часа - проверить изоляцию кабеля с монтажом электропривода. Если изоляция кабеля в норме, но код повторяется – заменить плату МОТ1. (смотри пункт Понижение изоляции кабеля (аларм 2F)
"
30,"Программа сканирова-ния контактов B обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
31,"Время измерения истекло в программе сканирования контактов B","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
35,"Программа управления стрелкой AD18 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
36,"Программа управления стрелкой ВD18 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
38,"Программа сканирования контактов A обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
39,"Время измерения истекло в программе сканирования контактов A","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
3A,"Программой AD99 обнаружена ошибка","Сбой в таймере задержки срабатывания контактов (РЦ). При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3B,"Программой BD99 обнаружена ошибка","Сбой в таймере задержки срабатывания контактов (РЦ). При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3E,"Программа активизации безопасных выходов AD61 обнаружила ошибку","При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3F,"Программа активизации безопасных выходов ВD61 обнаружила ошибку","При повторном появлении в течение 1 часа связаться с сервисным центром.
"
40,"Программа накачки AD06 обнаружила ошибку","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
41,"Сбой/неисправность в адресации схемы накачки (от прогр. AD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
42,"Программа накачки BD06 обнаружила ошибку","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
43,"Сбой/неисправность в адресации схемы накачки (от прогр. BD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
44,"Неправильное проверочное слово от схемы накачки (прогр. AD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
45,"Неправильное проверочное слово от схемы накачки (прогр. BD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
46,"Сбой в программе накачки","Перезапуск ОК. При многократном появлении в течение 1 часа заменить соответствующую интерфейсную плату (MOT1 или LMP).
"
47,"Сбой/неисправность в схемах накачки","Заменить плату MOT или LMP
"
48,"Перевод стрелки прерван программой CD1711","При неоднократном появлении попытаться заменить платы МОТ1, при неудаче – ССМ/ССМ-Е с ПЗУ. Связаться с сервисным центром.
"
49,"Сбой/неисправность в схемах накачки или в энергонезависимой памяти","Если код появится дважды от одного контроллера – связаться с сервисным центром.
"
50,"Обрыв в цепи лампы","Проверить/заменить лампу. Проверить разъем, кабельные соединения, сигнальные трансформаторы, клеммы, предохранители перед платой LMP. (см. п. Обрыв в цепи лампы (Аларм 50) или снижение показаний на менее разрешающее).
"
52,"Короткое замыкание в цепи лампы","Проверить/заменить лампу. Проверить напряжение на лампе. Проверить/настроить входное напряжение на плате LMP. Проверить разъем, кабельные соединения, клеммы, включение сигнальных трансформаторов. (см. п. Короткое замыкание (Аларм 52)
"
53,"Неисправность схемы измерения тока на плате LMP (измерение с выпрямителем)","При повторном появлении в течение 1 часа – заменить плату LMP.
"
54,"Неисправность источника опорного напряжения на плате LMP","При повторном появлении в течение 1 часа – заменить плату LMP.
"
55,"Частота мигания не соответствует норме","Проверить питающее напряжение платы LMP. При повторном появлении в течение 1 часа – связаться с сервисным центром.
"
56,"Напряжение не соответствует норме","Проверить предохранители. Проверить наличие и параметры питающего напряжения платы LMP. (см. п. Предохранители на плате LMP)
"
57,"Системная ошибка в сигнальном контроллере","За этим кодом следует перезапуск ОК. Аппаратная или программная ошибка. При двукратном и более появлении в течение 1 часа – заменить плату LMP. 
"
58,"Неправильный приказ на включение сигнального показания","При появлении связаться с сервисным центром. Программная ошибка.
"
59,"Внутренний тест аппаратуры не проходит","""Проверить соответствие существующей схемы включения сигнала проектной документации; проверить электрические параметры кабеля (сопротивление изоляции; целостность экрана, заземление экрана только со стороны кросса); В случае сопровождения аларма указанием конк-ретного выхода (А1 – АС) – заменить плату МОТ (Смотри внутренний тест аппаратуры)""
"
5A,"Превышение предела расхождения токов ламп, используемых в одном сигнальном показании, (10 %).","Проверить напряжение на лампах, задействованных в показании. Замерить ток в первичной цепи этих ламп. При различии более 10% выяснить причину и устранить.
"
5B,"Частота входного напряжения не соответствует норме.","Проверить входное напряжение платы LMP. Возможно появление кода при питании от резервных генераторов (для входных светофоров). (См. п. Частота входного напряжения не соответствует норме (5В)
"
5C,"Сбой при контроле целостности холодных нитей ламп.","Проверить кабели до светофора. При двукратном и более появлении в течение 1 часа – заменить плату LMP.
"
5D,"Обнаружено понижение изоляции кабеля или заземление.","При повторном появлении в течение 1 часа – прове-рить изоляцию кабеля до светофора (с монтажом) для всех светофоров, подключенных к данной обмотке PSU61-R. Если сопротивление изоляции нормальное, а код появляется снова – заменить плату LMP. (см. п. Понижение изоляции кабеля (Аларм 5D)
"
5E,"Расхождение прямого и обратного токов.","За этим кодом следует перезапуск ОК. Проверить изоляцию кабеля до светофора. Особенно следует обратить внимание на сообщение жил идущих с разных плат LMP. На станциях с удалённым расположением сигналов от поста ЭЦ аларм может быть вызван токами, наводимыми от сигналов, идущих в одном кабеле с данным сигналом. В этом случае необходимо максимально развести жилы от разных сигналов по разным кабелям. Если кабель исправен – при двукратном и более появлении в течение 1 часа – заменить плату LMP. (см. п. Расхождение прямого и обратного токов)
"
5F,"Ошибка в програм-ме сигнального ОК","При двукратном и более появлении в течение 1 часа – связаться с сервисным центром.
"
93,"Плата CCM/ССМ-Е настроена неправильно BD61","Связаться с сервисным центром.
"
94,"Плата CCM/ССМ-Е настроена неправильно AD61","Связаться с сервисным центром.
"
A1,"Неисправность выхода","Выход 1 первой платы LMP
"
A2,"Неисправность выхода","Выход 2 первой платы LMP
"
A3,"Неисправность выхода","Выход 3 первой платы LMP
"
A4,"Неисправность выхода","Выход 4 первой платы LMP
"
A5,"Неисправность выхода","Выход 5 первой платы LMP
"
A6,"Неисправность выхода","Выход 6 первой платы LMP
"
A7,"Неисправность выхода","Выход 1 второй платы LMP
"
A8,"Неисправность выхода","Выход 2 второй платы LMP
"
A9,"Неисправность выхода","Выход 3 второй платы LMP
"
AA,"Неисправность выхода","Выход 4 второй платы LMP
"
AB,"Неисправность выхода","Выход 5 второй платы LMP
"
AC,"Неисправность выхода","Выход 6 второй платы LMP
"
B0,"Неисправность на выходе, плата 1, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B1,"Неисправность на выходе, плата 1, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B2,"Неисправность на выходе, плата 1, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B3,"Неисправность на выходе, плата 1, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B4,"Неисправность на выходе, плата 2, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B5,"Неисправность на выходе, плата 2, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B6,"Неисправность на выходе, плата 2, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B7,"Неисправность на выходе, плата 2, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B8,"Неисправность на выходе, плата 3, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B9,"Неисправность на выходе, плата 3, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BA,"Неисправность на выходе, плата 3, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BB,"Неисправность на выходе, плата 3, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BC,"Неисправность на выходе, плата 4, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BD,"Неисправность на выходе, плата 4, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BE,"Неисправность на выходе, плата 4, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BF,"Неисправность на выходе, плата 4, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
D2,"Ошибка соединения платы LMP","Уплотнить плату в разъемах и проверить подсоединение кабеля к плате. При неудаче попробовать заменить плату.
"
D5,"Ошибка соединения платы MOT","Уплотнить плату в разъемах и проверить подсоединение кабеля к плате. При неудаче попробовать заменить плату.
"
D6,"Ошибка в провероч-ном слове платы (ба-зовый пакет программ)","При повторении в течение 1 часа – заменить плату.
"
D7,"Программный сбой","Обнаружена ошибка в базовом пакете программ. При повторении в течение 1 часа связаться с сервисным центром.
"
E0,"Программа управления стрелкой A/B17INIT обнаружила сбой","Возможно появление в случае многократного перевода стрелки без перерыва. В случае повторного появления в течении 1 часа – заменить плату МОТ1/связаться с сервисным центром.
"
E1,"ОК перезапущен","Нормальное сообщение в процессе перезапуска ОК
"
E5,"Программа управ-ления стрелкой AD17 обнаружила сбой","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E6,"Программа управ-ления стрелкой BD17 обнаружила сбой","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E7,"Перегрузка про-граммы обработки прерываний CD00.","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E8,"Переполнение стека","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E9,"Тест памяти не проходит (от программы CD09)","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EA,"Неправильная работа программы обработки прерываний CD00","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EB,"Обнаружена ошибка в базовой программной платформе API","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EC,"Обнаружена ошибка в базовой программной платформе (от программы VI2TC)","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
F3,"Программа AD61 управления выходами обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F4,"Программа BD61 управления выходами обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F5,"Сбой при запуске контроллера","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F6,"Программа AD62 (подготовки кода состояния) обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F7,"Программа BD62 (подготовки кода состояния) обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
01,"Программа обработки приказа BD01 обнаружила ошибку","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
02,"Неполная телеграмма приказа","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
03,"Неправильная длина телеграммы приказа (ML)","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
04,"Программа обработки приказа и проверки передачи BD01 обнаружила ошибку","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
05,"Программа подготовки телеграммы статуса AD03 обнаружила ошибку","Сбой/неисправность в ОК При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
06,"Программа подготовки телеграммы статуса BD03 обнаружила ошибку","Сбой/неисправность в ОК При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
07,"Программа системной синхронизации AD07 обнаружила ошибку","Нет объяснения
"
08,"Программа системной синхронизации BD07 обнаружила ошибку","Нет объяснения
"
09,"Программа связи с концентратором CD08 обнаружила ошибку","Нет объяснения
"
0A,"Ошибка синхронизации системного таймера (обнаружена программой AD07)","Обычно передается в течение нескольких циклов после перезапуска контроллера. Вмешательство не требуется.
"
0B,"Ошибка синхронизации системного таймера (обнаружена программой BD07)","Обычно передается в течение нескольких циклов после перезапуска контроллера. Вмешательство не требуется.
"
0C,"Неправильная проверочная сумма (CRC8)","Помеха при передаче. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
0D,"Неверный адрес приказа A/BD01","Смотри коды 01 … 04
"
0E,"Неправильный номер последовательности (CTA, CTB)","Номер последовательности в телеграмме приказа не соответствует ожидаемому. 
"
0F,"Неправильное значение приказа (ошибка кода Хеминга)","Разные значения приказа в частях А и В телеграммы. Смотри коды 01-04
"
10,"Отсутствует приказ после получения предварительного (отпирающего) при-каза для стрелочного контроллера.","Вероятно, по какой-либо причине временно увеличилось время цикла передачи. Не требует вмешательства при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
12,"Неправильный приказ для стрелочного ОК в режиме центрального или местного управления.","При повторном появлении в течение 1 часа – связаться с сервисным центром.
"
14,"Программа управления электродвигателем CD17 обнаружила ошибку","Старт электропривода прерван. Возможно появление в случае многократного перевода стрелки без перерыва. При повторном появлении в течение 1 часа, заменить плату МОТ1 или связаться с сервисным центром.
"
15,"Программа обработки приказа BD01 обнаружила ошибку","Смотри код 01.
"
16,"Программа обработки приказа и проверки передачи BD02 обнаружила ошибку","Смотри код 04
"
17,"Неправильная команда C-типа обнаружена программой CD21","Принята неправильная команда из серии День/Ночь/ДСН. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
18,"Программа CD21 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
1D,"Неправильный номер последовательности (CTA, CTB) (от релейного контроллера)","То же, что и код 0E
"
20,"При запуске электродвигателя обнаружена неисправность","Возможно обрыв провода одной из фаз, опущена курбельная заслонка, существует препятствие при переводе, плохо отрегулирован привод. (см. п. Неисправность при запуске электродвигателя (аларм 20)
"
21,"Положение электропривода 1 не соответствует последнему приказу","""1.Выполнить несколько переводов стрелки. 2.Очистить стрелку от снега или посторонних предметов. 3.Отрегулировать стрелочный перевод. 4.Убедиться, что двигатель вращается в нужную сторону. 5.Замерить в положении + (Л5-Л7 17-27В=; Л4-Л6 30-40В~); в положении - (Л5-Л7 30-40В~; Л4-Л6 17-27В=) напряжение в контрольной цепи: При отрицательном результате заменить плату МОТ1. (см. п. Статус «без контроля»)""
"
22,"Положение электропривода 2 не соответствует последнему приказу","См. код 21, (см. п. Статус «без контроля»)
"
23,"Три значения: 1. Неправильные настройки на задней панели. 2. Телеграммы состояния А/В не синхронизированы. 3. Программная ошибка в стрелочном контроллере.","1. ОК постоянно перезапускается. Проверить/восстановить правильные настройки на задней панели, проверить крепление плат и разъёмов. 2-3. При частом появлении заменить плату ССМ/ССМ-Е с ПЗУ. При повторении связаться с сервисным центром.
"
24,"Ток перевода выходит за допустимые пределы","Проверить электродвигатель, монтаж от ОК до привода (возможно обрыв провода одной из фаз, плохой контакт в курбельной заслонке). При повторном появлении в течение 1 часа, заменить плату МОТ1. (смотри пункт Ток перевода выходит за допустимые пределы (аларм 24).
"
25,"При неподвижной стрелке ток через семисторы платы МОТ выходит за пределы.","При повторном появлении в течение 1 часа, заменить плату МОТ1.
"
26,"Неисправность схемы опроса диода","Неисправность в монтаже от ОК до привода, повышенное сопротивление шлейфа контрольной цепи, ненадёжное врубание контактов авто-переключателя, неисправность в схеме CMD на плате МОТ1. Проверить монтаж до привода. Заменить БД-Эбилок (БДР-М, БДР), включить электрообогрев стрелок (зимой). Заменить плату МОТ1. (смотри пункт Неисправность схемы опроса диода (аларм 26).
"
27,"Неисправен аналого-цифровой преобразователь на плате МОТ","При повторном появлении в течение 1 часа заменить плату МОТ1.
"
29,"Неисправность платы MOT, ОК остановлен","Обобщенное сообщение. ОК передает этот код, когда плата МОТ1 неисправна и процессор остановлен. Заменить плату МОТ1.
"
2A,"Сбой платы MOT, ОК продолжает работу","Обобщенное сообщение. ОК непрерывно передает этот код, для сообщения о том, что в процессе работы обнаружены сбои и/или неисправности.
"
2B,"Схема (на плате МОТ) активизации безопасных реле неисправна","Заменить плату МОТ1.
"
2D,"Нет входного питания (3*220В) на плате МОТ","Проверить предохранитель, клеммы, провода.
"
2E,"Неисправность реле на плате МОТ","Заменить плату МОТ1.
"
2F,"Понижение изоляции кабеля (только для силовых проводов Л1, Л2, Л3)","При повторном появлении в течение 1 часа - проверить изоляцию кабеля с монтажом электропривода. Если изоляция кабеля в норме, но код повторяется – заменить плату МОТ1. (смотри пункт Понижение изоляции кабеля (аларм 2F)
"
30,"Программа сканирова-ния контактов B обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
31,"Время измерения истекло в программе сканирования контактов B","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
35,"Программа управления стрелкой AD18 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
36,"Программа управления стрелкой ВD18 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
38,"Программа сканирования контактов A обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
39,"Время измерения истекло в программе сканирования контактов A","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
3A,"Программой AD99 обнаружена ошибка","Сбой в таймере задержки срабатывания контактов (РЦ). При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3B,"Программой BD99 обнаружена ошибка","Сбой в таймере задержки срабатывания контактов (РЦ). При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3E,"Программа активизации безопасных выходов AD61 обнаружила ошибку","При повторном появлении в течение 1 часа связаться с сервисным центром.
"
3F,"Программа активизации безопасных выходов ВD61 обнаружила ошибку","При повторном появлении в течение 1 часа связаться с сервисным центром.
"
40,"Программа накачки AD06 обнаружила ошибку","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
41,"Сбой/неисправность в адресации схемы накачки (от прогр. AD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
42,"Программа накачки BD06 обнаружила ошибку","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
43,"Сбой/неисправность в адресации схемы накачки (от прогр. BD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
44,"Неправильное проверочное слово от схемы накачки (прогр. AD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
45,"Неправильное проверочное слово от схемы накачки (прогр. BD06)","Данные коды относятся к релейному контроллеру с интерфейсными платами SRC. При их повторном появлении в течение 1 часа попробовать заменить плату SRC. Если плат в контроллере несколько, то дефектная плата выявляется путем замены исправной. В случае неудачи – связаться с сервисным центром.
"
46,"Сбой в программе накачки","Перезапуск ОК. При многократном появлении в течение 1 часа заменить соответствующую интерфейсную плату (MOT1 или LMP).
"
47,"Сбой/неисправность в схемах накачки","Заменить плату MOT или LMP
"
48,"Перевод стрелки прерван программой CD1711","При неоднократном появлении попытаться заменить платы МОТ1, при неудаче – ССМ/ССМ-Е с ПЗУ. Связаться с сервисным центром.
"
49,"Сбой/неисправность в схемах накачки или в энергонезависимой памяти","Если код появится дважды от одного контроллера – связаться с сервисным центром.
"
50,"Обрыв в цепи лампы","Проверить/заменить лампу. Проверить разъем, кабельные соединения, сигнальные трансформаторы, клеммы, предохранители перед платой LMP. (см. п. Обрыв в цепи лампы (Аларм 50) или снижение показаний на менее разрешающее).
"
52,"Короткое замыкание в цепи лампы","Проверить/заменить лампу. Проверить напряжение на лампе. Проверить/настроить входное напряжение на плате LMP. Проверить разъем, кабельные соединения, клеммы, включение сигнальных трансформаторов. (см. п. Короткое замыкание (Аларм 52)
"
53,"Неисправность схемы измерения тока на плате LMP (измерение с выпрямителем)","При повторном появлении в течение 1 часа – заменить плату LMP.
"
